year,city,zone,annual_precip_mm
1979,Port Harcourt,Coastal,2826.4
1979,Sokoto,Sahel,526.2
1980,Abuja,Guinea Savanna,1764.8
1980,Calabar,Coastal,3654.7
1980,Ilorin,Guinea Savanna,975.6
1980,Jos,Guinea Savanna,1656.4
1980,Kano,Sahel,810.7
1980,Lagos,Coastal,2579.2
1980,Maiduguri,Sahel,445.7
1980,Port Harcourt,Coastal,3061.9
1980,Sokoto,Sahel,448.5
1981,Abuja,Guinea Savanna,1349.7
1981,Calabar,Coastal,3200.8
1981,Ilorin,Guinea Savanna,785.5
1981,Jos,Guinea Savanna,1862.6
1981,Kano,Sahel,762.1
1981,Lagos,Coastal,1933.7
1981,Maiduguri,Sahel,583.4
1981,Port Harcourt,Coastal,2482.6
1981,Sokoto,Sahel,392.0
1982,Abuja,Guinea Savanna,1631.3
1982,Calabar,Coastal,3256.0
1982,Ilorin,Guinea Savanna,773.0
1982,Jos,Guinea Savanna,1874.5
1982,Kano,Sahel,543.6
1982,Lagos,Coastal,1530.5
1982,Maiduguri,Sahel,438.7
1982,Port Harcourt,Coastal,2573.0
1982,Sokoto,Sahel,323.1
1983,Abuja,Guinea Savanna,1121.4
1983,Calabar,Coastal,2915.0
1983,Ilorin,Guinea Savanna,633.1
1983,Jos,Guinea Savanna,1432.6
1983,Kano,Sahel,490.3
1983,Lagos,Coastal,1321.5
1983,Maiduguri,Sahel,321.3
1983,Port Harcourt,Coastal,2240.4
1983,Sokoto,Sahel,251.9
1984,Abuja,Guinea Savanna,1490.1
1984,Calabar,Coastal,2966.7
1984,Ilorin,Guinea Savanna,718.6
1984,Jos,Guinea Savanna,2003.9
1984,Kano,Sahel,463.5
1984,Lagos,Coastal,1550.7
1984,Maiduguri,Sahel,349.8
1984,Port Harcourt,Coastal,2640.0
1984,Sokoto,Sahel,250.6
1985,Abuja,Guinea Savanna,1412.0
1985,Calabar,Coastal,3428.1
1985,Ilorin,Guinea Savanna,901.4
1985,Jos,Guinea Savanna,1602.9
1985,Kano,Sahel,640.6
1985,Lagos,Coastal,1826.4
1985,Maiduguri,Sahel,545.2
1985,Port Harcourt,Coastal,3036.5
1985,Sokoto,Sahel,348.1
1986,Abuja,Guinea Savanna,1473.6
1986,Calabar,Coastal,3168.4
1986,Ilorin,Guinea Savanna,734.2
1986,Jos,Guinea Savanna,1638.3
1986,Kano,Sahel,682.0
1986,Lagos,Coastal,1549.7
1986,Maiduguri,Sahel,486.5
1986,Port Harcourt,Coastal,2874.6
1986,Sokoto,Sahel,358.7
1987,Abuja,Guinea Savanna,1470.9
1987,Calabar,Coastal,3020.3
1987,Ilorin,Guinea Savanna,747.0
1987,Jos,Guinea Savanna,1776.4
1987,Kano,Sahel,627.8
1987,Lagos,Coastal,1821.1
1987,Maiduguri,Sahel,409.3
1987,Port Harcourt,Coastal,2814.0
1987,Sokoto,Sahel,310.2
1988,Abuja,Guinea Savanna,1748.4
1988,Calabar,Coastal,3372.5
1988,Ilorin,Guinea Savanna,930.1
1988,Jos,Guinea Savanna,1615.4
1988,Kano,Sahel,608.2
1988,Lagos,Coastal,2155.6
1988,Maiduguri,Sahel,726.5
1988,Port Harcourt,Coastal,2818.0
1988,Sokoto,Sahel,602.2
1989,Abuja,Guinea Savanna,1254.5
1989,Calabar,Coastal,2912.8
1989,Ilorin,Guinea Savanna,847.7
1989,Jos,Guinea Savanna,1840.5
1989,Kano,Sahel,606.3
1989,Lagos,Coastal,1842.7
1989,Maiduguri,Sahel,513.5
1989,Port Harcourt,Coastal,2617.5
1989,Sokoto,Sahel,397.0
1990,Abuja,Guinea Savanna,1326.8
1990,Calabar,Coastal,3387.9
1990,Ilorin,Guinea Savanna,765.4
1990,Jos,Guinea Savanna,1696.5
1990,Kano,Sahel,605.2
1990,Lagos,Coastal,1595.0
1990,Maiduguri,Sahel,333.3
1990,Port Harcourt,Coastal,2728.1
1990,Sokoto,Sahel,237.8
1991,Abuja,Guinea Savanna,1554.5
1991,Calabar,Coastal,3137.5
1991,Ilorin,Guinea Savanna,919.8
1991,Jos,Guinea Savanna,1788.5
1991,Kano,Sahel,784.5
1991,Lagos,Coastal,1790.8
1991,Maiduguri,Sahel,446.7
1991,Port Harcourt,Coastal,2626.2
1991,Sokoto,Sahel,417.2
1992,Abuja,Guinea Savanna,1362.4
1992,Calabar,Coastal,3180.7
1992,Ilorin,Guinea Savanna,864.1
1992,Jos,Guinea Savanna,1796.3
1992,Kano,Sahel,763.3
1992,Lagos,Coastal,1507.9
1992,Maiduguri,Sahel,582.6
1992,Port Harcourt,Coastal,2389.3
1992,Sokoto,Sahel,347.5
1993,Abuja,Guinea Savanna,1492.1
1993,Calabar,Coastal,3298.6
1993,Ilorin,Guinea Savanna,741.7
1993,Jos,Guinea Savanna,1929.8999999999999
1993,Kano,Sahel,608.2
1993,Lagos,Coastal,1588.0
1993,Maiduguri,Sahel,291.9
1993,Port Harcourt,Coastal,2701.1
1993,Sokoto,Sahel,227.2
1994,Abuja,Guinea Savanna,1796.8
1994,Calabar,Coastal,3200.9
1994,Ilorin,Guinea Savanna,845.2
1994,Jos,Guinea Savanna,1767.4
1994,Kano,Sahel,680.8
1994,Lagos,Coastal,1562.8
1994,Maiduguri,Sahel,717.0
1994,Port Harcourt,Coastal,2383.9
