year,month,zone,monthly_precip_mm
1962,6,Sahel,61.800000000000004
1962,7,Coastal,230.76666666666665
1962,7,Guinea Savanna,223.66666666666666
1962,7,Sahel,227.93333333333337
1962,8,Coastal,186.70000000000002
1962,8,Guinea Savanna,223.5666666666667
1962,8,Sahel,210.26666666666665
1962,9,Coastal,210.83333333333334
1962,9,Guinea Savanna,295.8666666666667
1962,9,Sahel,60.03333333333334
1962,10,Coastal,291.3
1962,10,Guinea Savanna,111.2
1962,10,Sahel,7.3
1962,11,Coastal,223.26666666666665
1962,11,Guinea Savanna,23.96666666666667
1962,11,Sahel,0.2333333333333333
1962,12,Coastal,63.63333333333333
1962,12,Guinea Savanna,0.39999999999999997
1962,12,Sahel,0.0
1963,1,Coastal,49.26666666666667
1963,1,Guinea Savanna,0.13333333333333333
1963,1,Sahel,0.0
1963,2,Coastal,81.56666666666666
1963,2,Guinea Savanna,0.16666666666666666
1963,2,Sahel,0.0
1963,3,Coastal,97.96666666666665
1963,3,Guinea Savanna,4.6000000000000005
1963,3,Sahel,0.0
1963,4,Coastal,215.86666666666667
1963,4,Guinea Savanna,72.03333333333333
1963,4,Sahel,3.466666666666667
1963,5,Coastal,290.23333333333335
1963,5,Guinea Savanna,202.0666666666667
1963,5,Sahel,22.133333333333336
1963,6,Coastal,252.5666666666667
1963,6,Guinea Savanna,212.0666666666667
1963,6,Sahel,58.46666666666667
1963,7,Coastal,297.06666666666666
1963,7,Guinea Savanna,249.03333333333333
1963,7,Sahel,144.06666666666666
1963,8,Coastal,231.0
1963,8,Guinea Savanna,248.13333333333333
1963,8,Sahel,214.13333333333333
1963,9,Coastal,245.86666666666667
1963,9,Guinea Savanna,195.73333333333335
1963,9,Sahel,50.166666666666664
1963,10,Coastal,228.63333333333333
1963,10,Guinea Savanna,152.70000000000002
1963,10,Sahel,28.099999999999998
1963,11,Coastal,110.03333333333332
1963,11,Guinea Savanna,0.8666666666666667
1963,11,Sahel,0.0
1963,12,Coastal,54.43333333333333
1963,12,Guinea Savanna,0.06666666666666667
1963,12,Sahel,0.0
1964,1,Coastal,43.666666666666664
1964,1,Guinea Savanna,2.7999999999999994
1964,1,Sahel,0.0
1964,2,Coastal,31.766666666666666
1964,2,Guinea Savanna,0.3666666666666667
1964,2,Sahel,0.03333333333333333
1964,3,Coastal,122.56666666666666
1964,3,Guinea Savanna,0.6333333333333333
1964,3,Sahel,0.03333333333333333
1964,4,Coastal,182.16666666666666
1964,4,Guinea Savanna,16.366666666666667
1964,4,Sahel,0.0
1964,5,Coastal,227.36666666666667
1964,5,Guinea Savanna,41.4
1964,5,Sahel,0.5
1964,6,Coastal,258.2
1964,6,Guinea Savanna,185.29999999999998
1964,6,Sahel,30.233333333333334
1964,7,Coastal,261.6333333333333
1964,7,Guinea Savanna,198.46666666666667
1964,7,Sahel,134.5
1964,8,Coastal,101.96666666666665
1964,8,Guinea Savanna,155.79999999999998
1964,8,Sahel,239.96666666666667
1964,9,Coastal,208.63333333333333
1964,9,Guinea Savanna,229.29999999999998
1964,9,Sahel,78.56666666666666
1964,10,Coastal,257.73333333333335
1964,10,Guinea Savanna,16.266666666666666
1964,10,Sahel,0.09999999999999999
1964,11,Coastal,119.7
1964,11,Guinea Savanna,0.16666666666666666
1964,11,Sahel,0.0
1964,12,Coastal,98.36666666666667
1964,12,Guinea Savanna,8.033333333333333
1964,12,Sahel,0.0
1965,1,Coastal,95.53333333333335
1965,1,Guinea Savanna,5.066666666666667
1965,1,Sahel,0.03333333333333333
1965,2,Coastal,175.73333333333335
1965,2,Guinea Savanna,11.333333333333334
1965,2,Sahel,0.03333333333333333
1965,3,Coastal,159.5666666666667
1965,3,Guinea Savanna,18.133333333333333
1965,3,Sahel,0.09999999999999999
1965,4,Coastal,204.6
1965,4,Guinea Savanna,48.23333333333333
1965,4,Sahel,0.0
1965,5,Coastal,270.06666666666666
1965,5,Guinea Savanna,78.3
1965,5,Sahel,5.033333333333333
1965,6,Coastal,317.8666666666667
1965,6,Guinea Savanna,238.36666666666667
1965,6,Sahel,80.36666666666666
1965,7,Coastal,317.1333333333333
1965,7,Guinea Savanna,251.86666666666667
1965,7,Sahel,144.29999999999998
1965,8,Coastal,320.6333333333333
1965,8,Guinea Savanna,212.13333333333333
1965,8,Sahel,107.76666666666667
1965,9,Coastal,244.16666666666666
1965,9,Guinea Savanna,200.20000000000002
1965,9,Sahel,62.13333333333333
1965,10,Coastal,185.83333333333334
1965,10,Guinea Savanna,36.266666666666666
1965,10,Sahel,3.1333333333333333
1965,11,Coastal,77.0
1965,11,Guinea Savanna,0.23333333333333336
1965,11,Sahel,0.0
1965,12,Coastal,67.36666666666666
1965,12,Guinea Savanna,0.3666666666666667
1965,12,Sahel,0.0
1966,1,Coastal,41.9
1966,1,Guinea Savanna,0.23333333333333336
1966,1,Sahel,0.0
1966,2,Coastal,38.23333333333333
1966,2,Guinea Savanna,0.13333333333333333
1966,2,Sahel,0.0
1966,3,Coastal,136.86666666666665
1966,3,Guinea Savanna,3.1666666666666665
1966,3,Sahel,0.0
1966,4,Coastal,215.5
1966,4,Guinea Savanna,83.3
1966,4,Sahel,19.133333333333333
1966,5,Coastal,285.2
1966,5,Guinea Savanna,139.20000000000002
1966,5,Sahel,45.93333333333334
1966,6,Coastal,243.76666666666665
1966,6,Guinea Savanna,180.96666666666667
1966,6,Sahel,46.800000000000004
1966,7,Coastal,262.46666666666664
1966,7,Guinea Savanna,248.86666666666667
1966,7,Sahel,116.7
1966,8,Coastal,305.96666666666664
1966,8,Guinea Savanna,232.0666666666667
1966,8,Sahel,145.20000000000002
1966,9,Coastal,267.09999999999997
1966,9,Guinea Savanna,230.93333333333337
1966,9,Sahel,60.13333333333333
1966,10,Coastal,241.4
1966,10,Guinea Savanna,83.16666666666667
1966,10,Sahel,1.9666666666666668
1966,11,Coastal,109.16666666666667
1966,11,Guinea Savanna,0.19999999999999998
1966,11,Sahel,0.0
1966,12,Coastal,106.73333333333333
1966,12,Guinea Savanna,2.8333333333333335
1966,12,Sahel,0.0
1967,1,Coastal,31.7
1967,1,Guinea Savanna,0.03333333333333333
1967,1,Sahel,0.0
1967,2,Coastal,73.60000000000001
1967,2,Guinea Savanna,0.5666666666666668
1967,2,Sahel,0.13333333333333333
1967,3,Coastal,152.76666666666665
1967,3,Guinea Savanna,22.400000000000002
1967,3,Sahel,0.4333333333333334
1967,4,Coastal,261.43333333333334
1967,4,Guinea Savanna,83.66666666666667
1967,4,Sahel,4.766666666666667
1967,5,Coastal,334.2666666666667
1967,5,Guinea Savanna,122.56666666666666
1967,5,Sahel,9.033333333333333
1967,6,Coastal,352.9666666666667
1967,6,Guinea Savanna,234.16666666666666
1967,6,Sahel,88.03333333333335
1967,7,Coastal,319.7
1967,7,Guinea Savanna,230.83333333333334
1967,7,Sahel,200.36666666666665
1967,8,Coastal,256.23333333333335
1967,8,Guinea Savanna,249.66666666666666
1967,8,Sahel,327.3
1967,9,Coastal,291.46666666666664
1967,9,Guinea Savanna,252.33333333333334
1967,9,Sahel,86.8
1967,10,Coastal,298.5333333333333
1967,10,Guinea Savanna,37.43333333333333
1967,10,Sahel,1.2333333333333334
1967,11,Coastal,141.1
1967,11,Guinea Savanna,11.966666666666667
1967,11,Sahel,0.0
1967,12,Coastal,152.20000000000002
1967,12,Guinea Savanna,7.866666666666666
1967,12,Sahel,0.03333333333333333
1968,1,Coastal,81.06666666666668
1968,1,Guinea Savanna,0.8000000000000002
1968,1,Sahel,0.0
1968,2,Coastal,109.76666666666667
1968,2,Guinea Savanna,8.333333333333334
1968,2,Sahel,0.0
1968,3,Coastal,210.83333333333334
1968,3,Guinea Savanna,20.266666666666666
1968,3,Sahel,0.0
1968,4,Coastal,220.03333333333333
1968,4,Guinea Savanna,121.86666666666667
1968,4,Sahel,30.133333333333336
1968,5,Coastal,311.1333333333333
1968,5,Guinea Savanna,204.26666666666665
1968,5,Sahel,55.666666666666664
1968,6,Coastal,331.0
1968,6,Guinea Savanna,239.03333333333333
1968,6,Sahel,145.79999999999998
1968,7,Coastal,402.2
1968,7,Guinea Savanna,292.56666666666666
1968,7,Sahel,138.23333333333332
1968,8,Coastal,231.0
1968,8,Guinea Savanna,279.0333333333333
1968,8,Sahel,134.86666666666667
1968,9,Coastal,419.9666666666667
1968,9,Guinea Savanna,270.8666666666667
1968,9,Sahel,70.3
1968,10,Coastal,312.1666666666667
1968,10,Guinea Savanna,76.56666666666666
1968,10,Sahel,6.366666666666667
1968,11,Coastal,208.0
1968,11,Guinea Savanna,5.7
1968,11,Sahel,0.0
1968,12,Coastal,95.73333333333333
1968,12,Guinea Savanna,1.0666666666666667
1968,12,Sahel,0.0
1969,1,Coastal,65.36666666666666
1969,1,Guinea Savanna,0.43333333333333335
1969,1,Sahel,0.0
1969,2,Coastal,101.43333333333334
1969,2,Guinea Savanna,2.6999999999999997
1969,2,Sahel,0.0
1969,3,Coastal,262.90000000000003
1969,3,Guinea Savanna,18.666666666666668
1969,3,Sahel,0.7666666666666666
1969,4,Coastal,273.93333333333334
